"predictions","NN_5","Activity","bin_NN"
"Positive",0.168713100072583,"Positive",2
"Positive",0.213262754620717,"Positive",2
"Positive",0.107314334107367,"Positive",1
"Positive",0.223270236737891,"Positive",3
"Positive",0.138441969305961,"Positive",1
"Positive",0.26672974952908,"Positive",3
"Positive",0.224324708386474,"Positive",3
"Positive",0.117830818112453,"Positive",1
"Positive",0.492457605718992,"Positive",4
"Positive",0.322242846906665,"Positive",4
"Positive",0.252061998130111,"Positive",3
"Positive",0.24359548789611,"Positive",3
"Positive",0.288529303781056,"Positive",4
"Positive",0.203143305564376,"Positive",2
"Positive",0,"Positive",1
"Positive",0.121549546566786,"Positive",1
"Positive",0.129441606577601,"Positive",1
"Positive",0.124772954155025,"Positive",1
"Positive",0.187765071164967,"Positive",2
"Positive",0.266510532739274,"Positive",3
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0.178740364407827,"Positive",2
"Positive",0.556218547330942,"Positive",4
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0,"Positive",1
"Positive",0.0528172594467377,"Positive",1
"Positive",0.0528172594467377,"Positive",1
"Positive",0,"Positive",1
"Positive",0.117371687659417,"Positive",1
"Positive",0.220071914361407,"Positive",3
"Positive",0.162252358021966,"Positive",2
"Positive",0.220071914361407,"Positive",3
"Positive",0.132043148616844,"Positive",1
"Positive",0.220071914361407,"Positive",3
"Positive",0.176057531489126,"Positive",2
"Positive",0.0914165352196721,"Positive",1
"Positive",0.301483608999305,"Positive",4
"Positive",0.162514644451501,"Positive",2
"Positive",0.229890031568417,"Positive",3
"Positive",0.20860361654315,"Positive",2
"Positive",0.192112191168157,"Positive",2
"Positive",0.171023082007846,"Positive",2
"Positive",0.171040185883129,"Positive",2
"Positive",0.235196699073185,"Positive",3
"Positive",0.115375797232334,"Positive",1
"Positive",0.0971444429071533,"Positive",1
"Positive",0.164419814137267,"Positive",2
"Positive",0.241680036508244,"Positive",3
"Positive",0.160535956886729,"Positive",2
"Positive",0.443824779394407,"Positive",4
"Positive",0.324382793581084,"Positive",4
"Positive",0.132043148616844,"Positive",1
"Positive",0.0728513923403278,"Positive",1
"Positive",0.0728513923403278,"Positive",1
"Positive",0.188615452341567,"Positive",2
"Positive",0.341858231357014,"Positive",4
"Positive",0.2431484975076,"Positive",3
"Positive",0.340997398021664,"Positive",4
"Positive",0.138992788017731,"Positive",1
"Positive",0.111194230414185,"Positive",1
"Positive",0.078239254930193,"Positive",1
"Positive",0.18350120084787,"Positive",2
"Positive",0.0960665191053118,"Positive",1
"Positive",0.163451257348525,"Positive",2
"Positive",0.226424810489207,"Positive",3
"Positive",0.172031569213523,"Positive",2
"Positive",0.547426976898827,"Positive",4
"Positive",0.352115062978251,"Positive",4
"Positive",0.282625664724097,"Positive",3
"Positive",0.25095957223051,"Positive",3
"Positive",0.140922801131898,"Positive",1
"Positive",0.106260120069744,"Positive",1
"Positive",0.279719716989817,"Positive",3
"Positive",0.615427354825853,"Positive",4
"Positive",0.362549723384351,"Positive",4
"Positive",0.283257630855542,"Positive",3
"Positive",0.115968909900592,"Positive",1
"Positive",0.567925112805257,"Positive",4
"Positive",0.340504739778647,"Positive",4
"Positive",0.267493318732688,"Positive",3
"Positive",0.32324382372401,"Positive",4
"Positive",0.197153925303409,"Positive",2
"Positive",0.152267946922005,"Positive",2
"Positive",0.126815066463208,"Positive",1
"Positive",0.351975020542595,"Positive",4
"Positive",0.0146460558111676,"Positive",1
"Positive",0.177140843252062,"Positive",2
"Positive",0,"Positive",1
"Positive",0.222212261447065,"Positive",3
"Positive",0.23435023665657,"Positive",3
"Positive",0.276362354973882,"Positive",3
"Positive",0.194239487909079,"Positive",2
"Positive",0.20807905895401,"Positive",2
"Positive",0.112241384648784,"Positive",1
"Positive",0.17661176537047,"Positive",2
"Positive",0.335413639898861,"Positive",4
"Positive",0.12575537963509,"Positive",1
"Positive",0.136173296392336,"Positive",1
"Positive",0.143899234603424,"Positive",1
"Positive",0.12575537963509,"Positive",1
"Positive",0.277704394687233,"Positive",3
"Positive",0.22812917491719,"Positive",3
"Positive",0.270031183129634,"Positive",3
"Positive",0.506888503740444,"Positive",4
